questions,keys,datadic,col_name,assessment,domains,measures
I lose my temper easily,ARI_S_06,ARI_S,"ARI_S,ARI_S_06",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
"Overall, irritability causes me problems",ARI_S_07,ARI_S,"ARI_S,ARI_S_07",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
Total Score,ARI_S_Total_Score,ARI_S,"ARI_S,ARI_S_Total_Score",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
1. I am too forgetful,ASR_01,ASR,"ASR,ASR_01",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
2. I make good use of my opportunities,ASR_02,ASR,"ASR,ASR_02",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
3. I argue a lot,ASR_03,ASR,"ASR,ASR_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
4. I work up to my ability,ASR_04,ASR,"ASR,ASR_04",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
5. I blame others for my problems,ASR_05,ASR,"ASR,ASR_05",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
6. I use drugs (other than alcohol and nicotine) for nonmedical purposes (describe):,ASR_06,ASR,"ASR,ASR_06",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
7. I brag,ASR_07,ASR,"ASR,ASR_07",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
8. I have trouble concentrating or paying attention for long,ASR_08,ASR,"ASR,ASR_08",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
9. I can't get my mind off certain thoughts (describe):,ASR_09,ASR,"ASR,ASR_09",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
10. I have trouble sitting still,ASR_10,ASR,"ASR,ASR_10",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
11. I am too dependent on others,ASR_11,ASR,"ASR,ASR_11",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
12. I feel lonely,ASR_12,ASR,"ASR,ASR_12",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
13. I feel confused or in a fog,ASR_13,ASR,"ASR,ASR_13",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
14. I cry a lot,ASR_14,ASR,"ASR,ASR_14",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
15. I am pretty honest,ASR_15,ASR,"ASR,ASR_15",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
16. I am mean to others,ASR_16,ASR,"ASR,ASR_16",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
17. I daydream a lot,ASR_17,ASR,"ASR,ASR_17",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
18. I deliberately try to hurt or kill myself,ASR_18,ASR,"ASR,ASR_18",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
19. I try to get a lot of attention,ASR_19,ASR,"ASR,ASR_19",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
20. I damage or destroy my things,ASR_20,ASR,"ASR,ASR_20",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
21. I damage or destroy things belonging to others,ASR_21,ASR,"ASR,ASR_21",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
22. I worry about my future,ASR_22,ASR,"ASR,ASR_22",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
23. I break rules at work or elsewhere,ASR_23,ASR,"ASR,ASR_23",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
24. I don't eat as well as I should,ASR_24,ASR,"ASR,ASR_24",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
25. I don't get along with other people,ASR_25,ASR,"ASR,ASR_25",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
26. I don't feel guilty after doing something I shouldn't,ASR_26,ASR,"ASR,ASR_26",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
27. I am jealous of others,ASR_27,ASR,"ASR,ASR_27",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
28. I get along badly with my family,ASR_28,ASR,"ASR,ASR_28",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
"29. I am afraid of certain animals, situations, or places (describe):",ASR_29,ASR,"ASR,ASR_29",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
30. My relations with the opposite sex are poor,ASR_30,ASR,"ASR,ASR_30",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
31. I am afraid I might think or do something bad,ASR_31,ASR,"ASR,ASR_31",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
32. I feel that I have to be perfect,ASR_32,ASR,"ASR,ASR_32",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
33. I feel that no one loves me,ASR_33,ASR,"ASR,ASR_33",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
34. I feel that others are out to get me,ASR_34,ASR,"ASR,ASR_34",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
35. I feel worthless or inferior,ASR_35,ASR,"ASR,ASR_35",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
"36. I accidentally get hurt a lot, accident-prone",ASR_36,ASR,"ASR,ASR_36",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
37. I get in many fights,ASR_37,ASR,"ASR,ASR_37",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
38. My relations with neighbors are poor,ASR_38,ASR,"ASR,ASR_38",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
39. I hang around people who get in trouble,ASR_39,ASR,"ASR,ASR_39",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
40. I hear sounds or voices that other people think aren't there (describe):,ASR_40,ASR,"ASR,ASR_40",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
41. I am impulsive or act without thinking,ASR_41,ASR,"ASR,ASR_41",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
42. I would rather be alone than with others,ASR_42,ASR,"ASR,ASR_42",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
43. I lie or cheat,ASR_43,ASR,"ASR,ASR_43",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
44. I feel overwhelmed by my responsibilities,ASR_44,ASR,"ASR,ASR_44",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
45. I am nervous or tense,ASR_45,ASR,"ASR,ASR_45",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
46. Parts of my body twitch or make nervous movements,ASR_46,ASR,"ASR,ASR_46",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
47. I lack self-confidence,ASR_47,ASR,"ASR,ASR_47",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
48. I am not liked by others,ASR_48,ASR,"ASR,ASR_48",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
49. I can do certain things better than other people,ASR_49,ASR,"ASR,ASR_49",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
50. I am too fearful or anxious,ASR_50,ASR,"ASR,ASR_50",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
51. I feel dizzy or lightheaded,ASR_51,ASR,"ASR,ASR_51",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
52. I feel too guilty,ASR_52,ASR,"ASR,ASR_52",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
53. I have trouble planning for the future,ASR_53,ASR,"ASR,ASR_53",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
54. I feel tired without good reason,ASR_54,ASR,"ASR,ASR_54",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
55. My moods swing between elation and depression,ASR_55,ASR,"ASR,ASR_55",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
56a. Physical problems without known medical cause: aches or pains (not stomach or headaches),ASR_56a,ASR,"ASR,ASR_56a",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
56b. Physical problems without known medical cause: Headaches,ASR_56b,ASR,"ASR,ASR_56b",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
"56c. Physical problems without known medical cause: Nausea, feel sick",ASR_56c,ASR,"ASR,ASR_56c",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
56d. Physical problems without known medical cause: Problems with eyes (not if corrected by glasses),ASR_56d,ASR,"ASR,ASR_56d",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
57. I physically attack people,ASR_57,ASR,"ASR,ASR_57",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
58. I pick my skin or other parts of my body (describe):,ASR_58,ASR,"ASR,ASR_58",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
59. I fail to finish things I should do,ASR_59,ASR,"ASR,ASR_59",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
60. There is very little that I enjoy,ASR_60,ASR,"ASR,ASR_60",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
61. My work performance is poor,ASR_61,ASR,"ASR,ASR_61",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
62. I am poorly coordinated or clumsy,ASR_62,ASR,"ASR,ASR_62",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
63. I would rather be with older people than with people of my own age,ASR_63,ASR,"ASR,ASR_63",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
64. I have trouble setting priorities,ASR_64,ASR,"ASR,ASR_64",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
65. I refuse to talk,ASR_65,ASR,"ASR,ASR_65",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
66. I repeat certain acts over and over (describe):,ASR_66,ASR,"ASR,ASR_66",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
67. I have trouble making or keeping friends,ASR_67,ASR,"ASR,ASR_67",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
68. I scream or yell a lot,ASR_68,ASR,"ASR,ASR_68",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
69. I am secretive or keep things to myself,ASR_69,ASR,"ASR,ASR_69",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
70. I see things that other people think aren't there (describe),ASR_70,ASR,"ASR,ASR_70",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
71. I am self-conscious or eaily embarassed,ASR_71,ASR,"ASR,ASR_71",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
72. I worry about my family,ASR_72,ASR,"ASR,ASR_72",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
73. I meet responsibilities to my family,ASR_73,ASR,"ASR,ASR_73",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
74. I show off or clown,ASR_74,ASR,"ASR,ASR_74",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
75. I am too shy or timid,ASR_75,ASR,"ASR,ASR_75",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
76. My behavior is irresponsible,ASR_76,ASR,"ASR,ASR_76",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
77. I sleep more than most other people during the day and/or night,ASR_77,ASR,"ASR,ASR_77",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
78. I have trouble making decisions,ASR_78,ASR,"ASR,ASR_78",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
79. I have a speech problem (describe),ASR_79,ASR,"ASR,ASR_79",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
80. I stand up for my rights,ASR_80,ASR,"ASR,ASR_80",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
81. My behavior is very changeable,ASR_81,ASR,"ASR,ASR_81",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
82. I steal,ASR_82,ASR,"ASR,ASR_82",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
83. I am easily bored,ASR_83,ASR,"ASR,ASR_83",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
84. I do things that other people think are strange (describe):,ASR_84,ASR,"ASR,ASR_84",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
85. I have thoughts that other people would think are strange (describe):,ASR_85,ASR,"ASR,ASR_85",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
"86. I am stubborn, sullen, or irritable",ASR_86,ASR,"ASR,ASR_86",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
87. My moods or feelings change suddenly,ASR_87,ASR,"ASR,ASR_87",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
88. I enjoy being with people,ASR_88,ASR,"ASR,ASR_88",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
89. I rush into things without considering the risks,ASR_89,ASR,"ASR,ASR_89",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
90. I drink too much alcohol or get drunk,ASR_90,ASR,"ASR,ASR_90",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
91. I think about killing myself,ASR_91,ASR,"ASR,ASR_91",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
92. I do things that may cause me trouble with the law,ASR_92,ASR,"ASR,ASR_92",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
93. I talk too much,ASR_93,ASR,"ASR,ASR_93",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
94. I tease others a lot,ASR_94,ASR,"ASR,ASR_94",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
95. I have a hot temper,ASR_95,ASR,"ASR,ASR_95",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
96. I am passive or lack initiative,ASR_96,ASR,"ASR,ASR_96",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
97. I threaten to hurt people,ASR_97,ASR,"ASR,ASR_97",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
98. I like to help others,ASR_98,ASR,"ASR,ASR_98",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
99. I dislike staying in one place for very long,ASR_99,ASR,"ASR,ASR_99",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
100. I have trouble sleeping,ASR_100,ASR,"ASR,ASR_100",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
